Guid,ParentId,Type,Revision,LastEditDate,Title,Body,LinkUrl,IsRichText,Status
6c828602-f6e7-4a42-8438-2a4de8b7b56b,9a77d350-dcf2-46c9-887b-ee2692dec452,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
637eaa76-1c65-4ff9-bfa6-f8643e9b9e24,c60f6f01-f538-4e18-a969-edbc49f48651,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
e90dde4f-9dc9-4d10-97f3-ed927836211a,a200dec2-9842-485d-a07d-c3547bc9b698,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
c074979f-f427-47ac-8424-f18dcc1e2a61,91aaba51-5b60-4ad2-afe5-16f1e9fb21f4,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
21d116a7-f0e0-4603-8e2a-e0a734385cf2,4b2c2cc8-d520-4445-b7b7-6077c5a043fc,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
d09bfc90-968c-46a4-abc8-d1182ef2e94a,37c4e650-ba0b-4cc0-acca-34ccaa342e64,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
2eb2dbe7-a0cb-421c-8ac7-715010794084,963c86f0-57b0-4fea-b47a-f0841a2bef02,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
21355e0d-c4b5-4dba-83b1-a166eacd7b84,8150c978-d3f1-4bbd-9411-f9a3b904c38f,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
d89eac2b-c594-43fa-8fc0-e7ad9170c392,ac8c31ec-279e-4b7e-8156-f03641e81419,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
16f2e191-ae4d-4454-a962-f09087633a0d,db939e24-507b-406f-99a3-30c693b506f5,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
1729c8f7-e7a0-4fa2-8dfa-e4c9ff63d101,7165fee6-06a0-4a5d-84fe-72a519eb0e48,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
cfaee634-d4dc-4df6-9056-499a54732790,b69ac161-8c64-4f38-9da4-26d317dd7675,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
7cb4ea78-c2b4-44ad-a670-344221296971,196a1ace-2dc9-40c3-b2af-390169a358f0,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
947e5f96-cdea-4698-91fc-8468f704389e,1a96adbc-3c99-4239-b4b3-ac02104de3a5,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
5a14aa19-412c-4f39-bf4f-408605a5e2fb,45e6fd20-91b5-4c3f-b5e7-fb29c9729eb9,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
d342fc28-c534-4a3d-b8b7-9dc8812fccec,376e8262-0da3-4bad-bfe8-9432da80ef0c,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
75b884c3-b698-4da3-b7b0-029d2f36391e,13d0a498-f872-4839-82b7-a018024026c6,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
0461eea7-636b-4c69-836d-8211bc841518,43d5ff12-309a-4568-8a09-88fa151c4a4f,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
35ca6ca8-8367-4870-bd7b-eaea872bc717,8da989bc-e84d-43c4-a0ea-3382c561e07f,CreateRecordEvent,1,#N/A,#N/A,#N/A,#N/A,false,Published
