Guid,OpportunityId,SortOrder,PricebookEntryId,Product2Id,Quantity,TotalPrice,UnitPrice,ServiceDate,Description,SBQQ__ParentID__c,SBQQ__SubscriptionType__c,sbaa__ApprovalStatus__c
ca42b300-d7fb-494a-b433-de4cdd48680e,bd566ece-5e2f-43b3-a4ae-384a3d4ae360,#N/A,11e7597a-2513-4d83-89a8-617dfef7e3b2,5d690752-5ba6-4116-8551-adb41685b64b,1.0,25000.0,25000.0,#N/A,#N/A,#N/A,#N/A,#N/A
3c1a55c3-bc20-4290-893a-0681a0f4f234,dc767962-8303-4b1b-9690-0e16e431ab8b,#N/A,821c8d8d-5fea-4122-92b9-9960e0e866a9,9ca71731-33a5-468b-b85f-b5a72c6525ad,20.0,22000.0,1100.0,#N/A,#N/A,#N/A,#N/A,#N/A
ceb837f2-8fcf-4248-be46-c5867e443d80,2823b9d3-ab78-479f-a7cf-272cc8d41a5e,#N/A,573c6116-0ac5-4c24-9d1a-a466c80b76d0,b04c2c62-0508-4a95-9ccf-a7607de46083,2.0,800.0,400.0,#N/A,#N/A,#N/A,#N/A,#N/A
0ebfe7e5-5e68-4818-8cff-abd7c597b775,223889fb-a8f2-4b7a-aea2-59798c9f98c9,#N/A,11e7597a-2513-4d83-89a8-617dfef7e3b2,5d690752-5ba6-4116-8551-adb41685b64b,1.0,25000.0,25000.0,#N/A,#N/A,#N/A,#N/A,#N/A
6a2a4b5d-d960-4caa-b72e-abce100e0741,fa11dc98-5e0e-4d35-bb2c-55c9b459da95,#N/A,821c8d8d-5fea-4122-92b9-9960e0e866a9,9ca71731-33a5-468b-b85f-b5a72c6525ad,20.0,22000.0,1100.0,#N/A,#N/A,#N/A,#N/A,#N/A
d3bb13d2-d9f6-4d6b-97ff-2ac69679a6c3,dc44f4cc-004a-4e2a-82c5-a61df8827052,#N/A,5eae1b6c-8083-4cb8-ad54-6c2bc99de2e5,7feea21a-2847-45f7-a9ba-7d83acdaec23,1.0,5000.0,5000.0,#N/A,#N/A,#N/A,#N/A,#N/A
f393697e-0f55-4077-a2e3-140c35f7e64f,6943cf72-c96f-4d6c-bace-c6ecd7c0f094,#N/A,be5b6ff7-b073-429b-8029-2b1a281eb993,11a633a2-bdac-42d1-878a-d8ecc723d4f6,5.0,2500.0,500.0,#N/A,#N/A,#N/A,#N/A,#N/A
0fc8edf7-c636-4f87-af9b-0e7f208efbe1,93b78ac1-c4d0-4420-a4b8-fbab94561252,#N/A,f5115f28-a648-4641-9782-b853c23feaa0,c9df2787-4f65-498b-b5f2-f9c351578afa,4.0,3600.0,900.0,#N/A,#N/A,#N/A,#N/A,#N/A
dbfc9f49-c391-45b4-bb04-d37134c400c8,951390fd-950d-46cc-b8b6-6c3eaae101c2,#N/A,d369622a-37c8-4801-8b92-2b3f93b9cdf7,5d3175c3-f7dd-4d5d-b367-468d7eda5b9e,12.0,600.0,50.0,#N/A,#N/A,#N/A,#N/A,#N/A
f22ee60d-daeb-427d-bceb-676412d34bd1,b16e485c-f4cd-4a9d-930b-c4b4d4b929b9,#N/A,f7857ae5-7e96-4fb5-8ddf-b60c12af1fe7,050e2aa7-54fb-48fd-be5c-d76d37741020,1.0,1000.0,1000.0,#N/A,#N/A,#N/A,#N/A,#N/A
